ID,Toschenko,assimilat5,Toschenko2,LangNow2,Latour5,ru_grants2,teaching2,affiliation,ParentEd2,born5,UnivLocal,liberalism2,research2,LangNow5,AdmSkill2,born2,SchoolLocal,liberalism5,gender,AdmSkill5,ParentEd5,WeGrants2,assimilat2,Latour2
A001,2,5,0,0,5,0,1,2,1,4,1,1,0,3,0,1,1,5,1,2,3,1,1,1
A003,3,5,0,1,5,0,1,2,1,3,1,0,0,4,1,0,1,2,0,3,5,1,1,1
A004,9,9,9,9,9,9,9,3,9,1,1,9,9,9,9,0,1,9,0,9,9,9,9,9
A008,4,1,1,0,1,0,1,8,0,1,1,0,0,1,0,0,1,2,1,1,1,0,0,0
A009,3,4,1,0,1,1,1,4,0,2,1,0,1,2,1,0,1,2,0,3,1,1,1,0
A705,1,4,0,1,2,0,0,4,0,5,1,0,0,4,0,1,0,3,1,1,1,0,1,0
A012,1,4,0,1,3,0,0,8,1,5,1,1,0,5,0,1,1,5,1,2,3,1,1,0
A015,3,4,1,1,4,0,1,4,1,2,1,1,0,4,1,0,0,4,0,3,4,1,1,1
A016,5,4,1,0,4,1,1,7,1,4,1,0,1,1,1,1,0,3,1,3,3,0,1,1
A030,5,4,1,0,5,1,1,5,1,3,0,1,1,2,1,1,0,5,1,5,3,1,1,1
A731,2,9,0,1,4,1,0,0,0,4,1,9,1,5,1,1,0,9,1,4,2,1,9,1
A035,5,4,1,0,2,0,1,3,0,4,1,1,0,3,1,1,0,3,0,4,2,1,1,0
A721,3,5,0,0,5,1,0,3,1,4,9,1,1,2,1,1,0,5,1,5,4,1,1,1
A038,1,5,0,1,5,0,0,2,1,5,1,1,0,4,0,1,1,4,0,1,4,1,1,1
A039,3,2,0,1,2,0,0,7,1,5,1,0,0,3,1,1,0,2,1,4,3,0,0,0
A043,5,3,1,0,3,0,1,4,1,5,1,0,0,2,1,1,0,3,1,3,3,0,1,0
A044,5,2,1,9,4,0,1,5,1,1,1,0,0,9,1,0,1,2,1,3,4,0,0,1
A045,5,1,1,0,5,1,1,3,0,1,1,0,1,1,1,0,1,3,0,5,1,1,0,1
A048,5,2,1,1,1,0,1,4,0,1,1,0,0,3,0,0,0,1,0,2,1,0,0,0
A052,5,3,1,1,5,0,1,4,1,3,1,1,0,4,0,0,0,4,1,3,3,1,0,1
A053,5,1,1,0,2,1,1,4,0,1,1,0,1,1,1,0,0,2,0,3,1,0,0,0
A054,5,2,1,9,3,1,1,4,9,1,1,1,1,9,0,0,1,3,1,1,9,1,0,1
A056,5,1,1,0,3,1,1,4,0,2,1,0,1,1,0,0,0,1,0,1,1,0,0,1
A058,4,5,1,1,5,1,0,3,1,4,1,1,1,3,0,1,1,4,0,3,3,0,1,1
A060,4,1,1,1,2,0,1,4,0,4,1,1,0,5,0,1,0,4,1,2,2,0,0,0
A071,3,4,0,0,2,1,1,4,1,2,0,1,1,2,1,0,0,3,1,4,3,0,1,0
A072,2,3,0,0,3,0,1,2,0,1,1,1,0,2,1,0,1,5,1,5,2,0,0,1
A704,1,2,0,1,4,0,0,4,1,5,1,1,0,4,1,1,1,4,1,4,3,1,0,1
