friend,member
218860944,497003603
350628559,497003603
4320431,248538999
11023281,248538999
320696517,248538999
212507218,504095937
333444948,504095937
175330518,469940817
53508401,490497444
290452195,490497444
429056087,490497444
479657891,490497444
489533814,490497444
504107774,490497444
103628100,497248665
170767618,497248665
508949689,497248665
183057102,508949689
497248665,508949689
240313685,485227696
463368812,485227696
218982992,439924411
451115761,500964852
144834276,467169801
166821123,395921863
13554153,430236393
159766601,204073669
358063606,204073669
430107977,204073669
107959288,499127556
294084542,394372002
371526080,506076116
486533340,506076116
231248552,496013784
316557599,496013784
333079478,496013784
503075348,508707627
151269495,506430070
338465481,484978899
398098084,484978899
440771887,484978899
298093135,107959288
499127556,107959288
134761833,427436970
281697130,367016089
601282,485621214
142302771,505141588
492715347,505141588
505735806,505141588
212300939,281679335
298757905,211601751
300608061,485505430
395047063,485505430
440771887,485505430
472473237,485505430
39625068,14861632
377649297,14861632
302032174,54133303
83079058,123414508
424879806,474239753
429689152,475987793
33064307,508731766
233082490,219868640
103242715,13385335
496609065,490271086
63303514,152085149
163012872,152085149
248194490,66564789
490271086,496609065
10369857,436421685
19057565,436421685
85590732,436421685
152159994,436421685
160156529,436421685
231845962,436421685
239782799,436421685
246301706,436421685
249047760,436421685
378767050,436421685
385327789,436421685
391035891,436421685
414406585,436421685
438849158,436421685
463803946,436421685
21156418,442039905
344381478,152719115
172867911,300333867
416898860,508648432
173825004,505804758
141391947,142302771
273696011,142302771
505141588,142302771
272591786,208868033
636370,452243912
28517826,452243912
300608061,452243912
365717489,144069963
139456229,102409938
142600323,124680024
198576072,340433719
34535971,403714908
56520491,403714908
168582654,222972338
229469761,222972338
487004087,498981983
371526080,486533340
506076116,486533340
358353557,148997623
406332569,475209316
499726142,475209316
37128166,330956340
119575815,330956340
319574342,330956340
393323094,330956340
440181660,330956340
452442733,330956340
473866603,330956340
283632272,153384328
335496499,432368484
484788872,371369571
215427018,476497760
406452976,476497760
477648793,480229861
4895177,395890855
220824725,458523868
299255974,146523395
309319396,171223156
448168991,507909876
158081425,487004087
245732394,487004087
498981983,487004087
467843305,234364672
365003057,392079424
408606159,208824259
404712865,325737775
445171354,442055797
189681590,414327758
348830856,414327758
361556037,414327758
459289980,414327758
506173566,414327758
208824259,408606159
411001902,408606159
426389553,408606159
456323804,408606159
83649560,508244014
352736918,739650
478058418,508231939
6129850,438594727
411846414,14527014
222407344,442560467
177762867,2826988
29491617,277985843
98006570,277985843
6055734,295106687
305212730,295106687
7648542,289528010
505131217,460393273
189667457,146306119
313422586,146306119
382810566,146306119
425297910,146306119
137100245,76742643
383779689,76742643
406724964,76742643
432622266,76742643
13108564,672026
134106557,508069182
155604898,508069182
219231577,508069182
271012290,508069182
415727872,508069182
424879806,508069182
440771887,508069182
446864942,508069182
205526225,44754892
301513339,44754892
318755496,44754892
373953094,44754892
276291872,460873336
452442733,195906145
361627891,446270607
455994829,211526057
138905689,12810729
101958236,308713549
417357450,308713549
267095142,381943620
346824289,381943620
174394957,273612576
420765380,273612576
9347255,102020618
139011535,102020618
167111377,102020618
188054401,102020618
188769331,102020618
232650740,102020618
301111103,102020618
303458430,102020618
386188180,102020618
418122707,102020618
440771887,102020618
17800931,333491852
111441316,251216827
640772,167680637
259141159,167680637
59147341,491654483
302306433,491654483
400976961,475663999
444434040,475663999
466412050,475663999
345747433,451032283
48556300,163904970
163904970,48556300
140870431,507805892
158923552,155326634
214063782,155326634
352636692,155326634
27736228,502285580
324319376,502285580
355065065,347885761
33185773,43212342
440975239,43212342
224993958,457115478
400197881,335895234
421251870,335895234
192606914,501983596
280381340,459680480
351587343,335499482
147531365,218753433
499169498,218753433
30153925,505026010
151555956,501940178
478058418,501940178
489228260,501940178
506436130,501940178
228747721,379663132
277392665,379663132
485186683,379663132
6129850,111441316
251216827,111441316
152056611,145569841
236634210,145569841
376094988,145569841
11612643,6129850
111441316,6129850
160952004,6129850
202893611,6129850
438594727,6129850
468578963,6129850
299684769,221452098
28140066,134657784
133825417,308837641
21500166,35437570
34702164,35437570
41216482,35437570
61800564,35437570
67091199,35437570
204012605,35437570
233082490,35437570
418107460,35437570
484884195,35437570
490497444,479657891
495090251,497597349
191764981,495665063
329573428,495665063
369184751,495665063
374051443,495665063
460081167,495665063
219889132,467163424
434905845,500116089
411198715,153039381
153039381,411198715
31503651,176544249
119752378,466027285
228337194,466027285
439057102,466027285
359917786,486687210
6241184,455943186
243568271,491653250
245387243,491653250
224336131,29813679
340898521,29813679
241710697,506100311
203330405,443189867
347741387,218981051
157408386,81155996
434905845,81155996
419041372,468199060
8375249,174826014
409157668,174826014
467894857,487277546
26196629,484335203
62854384,484335203
113504284,484335203
282927591,484335203
304536906,484335203
355632094,484335203
380991330,484335203
403737919,484335203
405176479,484335203
467273439,484335203
485416935,484335203
505435560,484335203
414327758,506173566
433864490,62854384
484335203,62854384
28110319,241738397
45583436,483743678
232666558,352000559
497256233,60937065
340703562,507090213
368060683,507090213
277583851,154272595
242957083,494603660
487314325,494603660
419172803,465606575
212759035,474682439
367275443,505036446
209860086,485275262
379880891,499113222
472277864,499113222
498061352,499113222
35437570,204012605
79841429,204012605
207229669,204012605
360023669,204012605
360514469,204012605
453658025,204012605
474098461,204012605
496101576,204012605
209068974,504087021
297642983,504087021
167430480,506982333
497256233,454176574
60937065,497256233
454176574,497256233
5228705,489104922
13176725,489104922
322348699,252444467
177051972,111066604
142311555,247525999
473962842,148892776
101124225,156818813
248635204,156818813
59950737,40732798
227474173,40732798
357614215,40732798
101124225,242974545
341161579,242974545
277197446,319622624
331383943,503199540
149532522,468063857
302106811,384036629
371592467,384036629
226635058,377377566
386681284,377377566
197053983,239502435
136769251,306905399
196656106,306905399
265133641,306905399
294084542,306905399
301791038,306905399
312082974,306905399
328271030,306905399
333444948,306905399
395520486,306905399
400916516,306905399
477006319,306905399
496068747,306905399
503444014,306905399
362375987,497108344
541580,4028020
722767,4028020
838886,4028020
1812410,4028020
1852726,4028020
3404347,4028020
3613565,4028020
4766201,4028020
5008973,4028020
6203583,4028020
6342364,4028020
7737381,4028020
8122809,4028020
333130147,4028020
367338178,4028020
371369571,484788872
53555262,495138291
489427543,495138291
230506971,483155433
270348391,506548028
