uid,bdate,sex,city
305776799,,2,1017
305138950,,1,0
77335019,,1,
86960431,,2,
497003603,1.2.2004,2,0
503773805,3.9.1975,1,14876
49917520,13.2,2,0
348510966,21.3.1981,2,708
152015503,24.12,1,340
248538999,,2,
504095937,6.4.1990,2,266
173441664,16.8,1,280
469940817,22.1.1995,2,60
486461413,,1,
375349741,,1,
490497444,,1,
406578919,,2,314
326018602,21.10.1998,2,1
489687549,5.4.1978,2,0
471117485,6.3.1969,2,0
361603592,,2,0
497248665,,1,1
247452400,,2,
22285839,,1,
508949689,9.12.1986,1,0
485227696,19.1,2,0
439924411,29.6.1996,2,0
500964852,19.10,2,4590
289456803,7.11.1980,2,8590
467169801,31.5.1998,1,151
451155746,26.5.1985,2,0
234607903,,2,10
395921863,14.11.1993,2,133
473727914,15.4.1991,1,6111
430236393,,2,60
279761546,6.11.1976,1,1033
493115414,21.12.1978,2,0
204073669,11.5.1995,2,0
238436046,16.3,1,135
166001114,27.2,2,158
294677693,,2,
268661536,,2,
340051869,,2,
499127556,2.8.1991,2,2
394372002,,1,
506076116,9.7.1977,1,794
222483979,,2,
496013784,31.3,1,0
225786152,2.8,2,0
325326002,20.5,2,49
508707627,1.1.1991,2,2
506430070,9.1.1998,1,314
253631792,3.1,2,97
484978899,8.3.1983,2,292
446822964,,2,0
107959288,,1,
375624231,,1,
427436970,,2,
499352852,22.12.1989,2,1937246
275839004,23.5,2,0
367016089,,2,1
492965497,1.7.2000,2,0
485621214,31.8.1980,2,0
497328755,8.3.1998,1,0
325756936,,2,0
505141588,,1,
36948632,,2,
223483314,,2,
507841922,,1,
168239596,3.2,2,82
504173871,6.3.1998,1,0
219356031,2.11,1,993
281679335,,2,
211601751,9.10.1999,2,104
26452064,,1,760
499580256,12.3.1998,1,0
26061554,2.3.1996,2,1
456014987,,1,
190720248,,1,
457530965,14.7,1,34
485505430,13.6,2,1
277208243,,1,1008513
26758526,8.4.1981,2,88
14861632,31.8.1992,1,35
136325712,,1,
395237911,22.10.1988,2,1
460759851,,2,
54133303,,2,
19109254,,1,
225998290,,1,
162954482,11.7,2,20950
123414508,18.11,1,1
445258127,21.5,2,28
474239753,,2,
23236486,,1,
475987793,,1,
211054275,,1,4662553
171731674,,2,
505255195,3.5.1992,2,0
508731766,1.1.1990,1,156
439860027,,1,
450087444,,1,148
482503840,20.7,1,2
219868640,14.6.1985,1,199
478727201,14.4.2000,1,0
13385335,,2,169
101358868,,2,
490271086,21.9.1975,2,0
195722691,31.12.1995,1,158
504127681,3.5.1989,1,0
504027226,,1,2
152085149,,1,
66564789,17.4.1991,1,42
503426681,8.10,2,4184599
476766965,,1,
43337882,,2,
349705507,7.1,1,64
491560836,21.1,2,124
135631850,17.2,2,88
496609065,17.7.1978,2,178
365319629,,1,
436421685,,2,
454823219,,1,32
442039905,31.1.1990,2,141
152719115,7.4,2,0
371676866,11.9.1984,2,38
300333867,21.4,2,21233
508648432,1.1.1902,2,0
133445601,,1,
287117948,1.4.1998,2,0
505804758,7.3.2004,1,0
439547385,14.10,2,2
267830247,,2,
142302771,27.7.1991,2,0
208868033,2.2,1,0
473742297,,2,
343998214,,1,
452243912,16.8.1996,2,0
446912549,18.7.1994,1,72
431414998,1.9,1,0
503925102,,1,
144069963,,2,
25066866,,2,
297671950,,2,1
102409938,,1,
124680024,,2,
340433719,,1,
177916739,,1,
403714908,9.9.1977,2,72
222972338,1.11.1996,1,1
508515525,5.7.2000,1,0
498981983,18.8.1983,2,0
280881272,,1,85
486533340,29.9.1990,1,794
28425033,6.2,1,147
353644846,,1,
498572962,25.7.1989,2,0
484688821,,2,99
495619182,,1,0
148997623,22.8,2,384
475209316,,2,
278323827,,2,3151
502976352,12.10.1987,2,1083880
419282906,15.8.1978,1,123
220107141,,1,7159
330956340,,1,
475523064,18.7,1,818
340774449,,2,42
479568567,,2,
153384328,,1,4059
372627525,,2,99
277970914,,1,282
432368484,17.4.1991,2,1144448
371369571,14.2.1988,2,1
493263495,14.2.1994,1,94
476497760,5.10.1976,2,1
